Build Number,Version,Build Date,Build Time,API Version,Build Hash
9369,3.0.0-beta1,?? ??? ????,??:??:??,?,?
9464,3.0.0-beta5,?? ??? ????,??:??:??,?,?
9502,3.0.0-beta6,?? ??? ????,??:??:??,?,?
9881,3.0.0-beta11,?? ??? ????,??:??:??,?,?
9931,3.0.0-beta12,?? ??? ????,??:??:??,?,?
10118,3.0.0-beta13,?? ??? ????,??:??:??,?,?
10190,3.0.0-beta15,?? ??? ????,??:??:??,?,?
10314,3.0.0-beta16,?? ??? ????,??:??:??,?,?
10406,3.0.0-beta17,?? ??? ????,??:??:??,?,?
10609,3.0.0-beta18,?? ??? ????,??:??:??,?,?
10723,3.0.0-beta20,?? ??? ????,??:??:??,?,?
11239,3.0.0-beta21,?? ??? ????,??:??:??,?,?
11315,3.0.0-beta22,?? ??? ????,??:??:??,?,?
11999,3.0.0-beta25,?? ??? ????,??:??:??,?,?
12040,3.0.0-beta26,?? ??? ????,??:??:??,?,?
12262,3.0.0-beta28,?? ??? ????,??:??:??,?,?
12268,3.0.0-beta29,?? ??? ????,??:??:??,?,?
12369,3.0.0-beta30,?? ??? ????,??:??:??,?,?
12451,3.0.0-beta31,?? ??? ????,??:??:??,?,?
12599,3.0.0-beta32,?? ??? ????,??:??:??,?,?
12724,3.0.0-beta35,?? ??? ????,??:??:??,?,?
12815,3.0.0-beta36,?? ??? ????,??:??:??,?,?
14642,3.0.0-rc2,?? ??? ????,??:??:??,?,?
14345,3.0.0-rc1,?? ??? ????,??:??:??,?,?
14954,3.0.0,?? ??? ????,??:??:??,?,?
15001,3.0.1,?? ??? ????,??:??:??,?,?
1319620118,3.0.2,26 Oct 2011,09:08:38,?,?
1320933515,3.0.2,10 Nov 2011,13:58:35,?,?
1321432557,3.0.2,16 Nov 2011,08:35:57,?,?
1326378143,3.0.3,10 Jan 2012,??:??:??,15,?
1326378143,3.0.3,12 Jan 2012,14:22:23,?,?
1326794905,3.0.3,16 Jan 2012,??:??:??,?,?
1326794905,3.0.3,17 Jan 2012,10:08:25,?,?
1326886516,3.0.3,16 Jan 2012,??:??:??,?,?
1326886516,3.0.3,18 Jan 2012,11:35:16,?,?
1327056547,3.0.3,20 Jan 2012,10:49:07,15,?
1327583302,3.0.4,26 Jan 2012,13:08:22,?,?
1327924980,3.0.4,30 Jan 2012,12:03:00,15,?
1328110407,3.0.5,02 Feb 2012,??:??:??,?,?
1328254851,3.0.5,02 Feb 2012,??:??:??,?,?
1328254851,3.0.5,03 Feb 2012,07:40:51,?,?
1328701600,3.0.5,08 Feb 2012,??:??:??,?,?
1328791207,3.0.5,09 Feb 2012,12:40:07,?,?
1328874614,3.0.5,10 Feb 2012,??:??:??,?,?
